2
1.0274	1.091
0.9089	0.99569
1.0979	1.0286
0.98227	0.96206
0.9565	1.0553
0.99434	1.0306
0.9638	1.0197
1.0178	1.0326
1.0948	0.95464
1.0812	1.0899
1.0596	0.98265
1.0038	1.1217
1.0018	1.0483
1.0073	0.99339
1.1451	1.0541
1.1116	0.98069
0.88316	0.96998
0.963	1.0956
0.98466	0.96888
1.0697	1.0494
1.0374	1.0841
0.97607	0.9189
0.97023	0.96376
0.94442	1.1173
0.99179	1.0018
1.1173	0.98762
1.1042	0.97544
1.0115	1.0365
1.06	0.91434
1.064	0.95041
0.94046	1.193
0.93779	1.0914
0.92027	0.98629
1.0549	0.95737
0.97643	0.98006
1.0421	1.0164
1.1257	1.0139
1.0831	0.96204
0.96855	0.96936
0.89134	0.91324
1.0621	0.99106
1.029	1.0925
1.0092	0.94985
1.0735	0.98321
1.0187	0.94109
1.0789	1.0504
1.0618	1.0101
0.9431	1.0751
0.91236	0.90625
0.91007	1.0699
0.9685	1.9484
1.0576	2.0393
0.97957	1.946
1.0789	1.9796
0.99083	2.0477
1.043	2.0183
0.95503	1.999
1.0767	2.02
1.0196	1.9117
1.047	1.9182
0.91361	1.9715
0.98231	2.0036
1.0098	1.9595
1.0065	1.9061
1.1513	2.0593
1.0136	1.9071
1.0003	1.9395
0.92926	1.966
0.97477	2.0613
1.0884	1.8826
1.004	1.895
1.0193	1.9129
1.0261	1.9709
1.0338	2.0609
1.1551	1.8599
1.07	2.0591
1.0249	1.9512
1.0264	2.0242
1.0241	1.8748
1.0443	1.9422
1.0634	2.0003
1.0304	1.9615
0.94425	2.1044
1.1288	1.8123
1.0633	2.0288
1.0166	1.9645
0.87708	2.0403
1.0352	2.0527
1.0241	1.9046
1.0361	1.9683
0.88243	1.9725
0.96903	2.0386
1.0443	1.9291
1.0489	2.1263
1.1124	2.0011
0.99219	2.0208
0.95203	2.0068
0.99884	1.9836
0.90187	1.9708
1.0415	1.9486
0.95261	3.0766
1.0122	2.962
1.0778	3.0684
0.86363	2.9053
0.9909	2.9138
0.98329	2.8202
0.90847	2.9829
0.91306	3.0926
0.99423	3.0478
0.97943	2.998
0.97292	2.9704
1.0325	3.0522
1.0195	2.957
0.9847	2.9592
0.95403	3.1199
0.94078	2.9251
0.9888	3.0852
0.97211	2.9593
0.97043	2.8873
0.97937	3.0988
0.93289	3.0982
0.94286	2.8031
0.93697	3.1103
1.0049	2.9109
1.0815	2.9445
1.1181	2.9426
1.0405	3.0289
0.87033	2.9679
0.91324	2.9224
1.0231	3.0164
0.95265	3.0171
1.049	2.9366
1.0169	3.0127
1.0577	3.0734
1.0141	3.1046
1.0965	2.9217
0.92646	3.0429
1.0893	2.9938
0.97592	2.9768
1.1011	3.0539
0.90801	3.0053
1.0485	2.9485
